houses,farms,mines,lumber mills,latrines,run_id
3,4,1,2,1,12
3,4,1,2,2,12
3,5,1,2,2,12
3,5,1,2,2,12
3,5,2,2,2,12
3,5,3,2,2,12
3,5,3,2,3,12
4,5,3,2,3,12
4,5,3,2,3,12
4,5,3,3,3,12
5,5,3,3,3,12
5,5,3,3,3,12
5,5,3,3,3,12
5,5,3,3,3,12
6,5,3,3,3,12
6,5,3,3,3,12
5,5,4,3,3,12
5,5,4,3,3,12
5,5,4,3,4,12
5,5,4,4,4,12
5,5,4,4,4,12
4,5,4,4,4,12
5,5,4,4,4,12
5,5,5,4,4,12
5,5,5,4,4,12
5,5,5,4,5,12
6,5,5,4,5,12
6,6,5,4,5,12
6,6,5,4,5,12
6,6,5,4,5,12
6,6,5,4,6,12
6,6,6,4,6,12
7,5,6,4,6,12
8,5,6,4,6,12
8,5,6,4,6,12
9,5,6,4,6,12
9,5,6,4,6,12
9,5,6,4,6,12
9,5,6,4,5,12
10,5,6,4,5,12
10,4,6,4,5,12
10,5,6,4,5,12
11,5,6,4,4,12
11,5,6,4,5,12
11,5,6,4,5,12
11,6,6,4,5,12
11,7,6,4,4,12
11,7,5,4,5,12
11,7,6,4,5,12
11,7,5,5,5,12
11,7,5,5,5,12
11,7,5,5,5,12
11,7,5,5,6,12
11,7,5,5,6,12
11,8,5,5,6,12
11,8,5,5,6,12
11,8,5,5,6,12
11,8,5,5,6,12
11,8,6,5,6,12
11,8,6,5,6,12
12,8,6,5,6,12
12,8,6,5,6,12
12,8,6,5,6,12
12,8,6,5,6,12
12,8,6,5,7,12
12,8,6,5,7,12
12,8,6,4,7,12
12,9,6,3,7,12
12,10,6,3,7,12
12,10,6,3,7,12
12,10,6,3,7,12
12,10,6,3,7,12
12,9,6,3,7,12
12,9,5,3,8,12
12,9,5,3,8,12
12,9,5,3,9,12
0,0,0,0,0,13
0,1,0,0,0,13
0,1,0,0,1,13
1,1,0,0,1,13
1,1,0,0,2,13
1,2,0,0,2,13
1,2,1,0,2,13
0,2,1,1,2,13
0,2,1,1,2,13
0,2,1,2,2,13
0,2,1,2,3,13
0,2,1,2,4,13
1,2,1,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,3,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
1,2,0,2,4,13
0,0,0,0,0,14
0,0,0,0,1,14
1,0,0,0,1,14
1,0,0,1,1,14
1,0,0,1,1,14
1,0,0,1,2,14
1,0,0,1,3,14
1,1,0,0,3,14
2,1,0,0,3,14
2,1,0,0,4,14
2,1,0,0,4,14
2,1,0,0,4,14
2,1,0,0,4,14
2,1,0,0,4,14
2,1,0,0,4,14
2,1,0,0,4,14
2,1,0,0,4,14
2,1,0,0,4,14
2,1,0,0,4,14
2,1,0,0,4,14
2,2,0,0,4,14
2,2,0,0,4,14
2,2,0,0,4,14
2,2,0,0,4,14
2,2,0,0,4,14
2,2,0,0,4,14
2,2,0,0,4,14
2,2,0,0,4,14
2,2,0,0,4,14
2,2,0,0,4,14
2,2,0,0,4,14
2,2,0,0,4,14
2,2,0,0,4,14
2,2,0,0,4,14
2,2,0,0,4,14
2,2,0,0,4,14
2,2,0,0,4,14
